date,cleaning_count,confirmed_labor_cost_yen
2026-04-01,13,98728
2026-04-02,11,81171
2026-04-03,10,63614
2026-04-04,11,86272
2026-04-05,12,82872
2026-04-06,12,78843
2026-04-07,12,88471
2026-04-08,11,83185
2026-04-09,15,99097
2026-04-10,11,74001
2026-04-11,11,84257
2026-04-12,14,97526
2026-04-13,10,69029
2026-04-14,12,87713
2026-04-15,10,66884
2026-04-16,9,60473
2026-04-17,9,50086
2026-04-18,17,115712
2026-04-19,13,98414
2026-04-20,10,82059
2026-04-21,16,95827
2026-04-22,13,87085
2026-04-23,8,50713
2026-04-24,11,87973
2026-04-25,13,87844
2026-04-26,15,113199
2026-04-27,14,98912
2026-04-28,6,38571
2026-04-29,7,46186
2026-04-30,12,92945
2026-05-01,10,75570
2026-05-02,10,67643
2026-05-03,16,102054
2026-05-04,11,76644
2026-05-05,9,64188
2026-05-06,15,109928
2026-05-07,7,45741
2026-05-08,11,69214
2026-05-09,3,17428
2026-05-10,13,97603
2026-05-11,14,98860
2026-05-12,11,76069
2026-05-13,17,115712
2026-05-14,15,111001
2026-05-15,11,83185
2026-05-16,10,87030
2026-05-17,17,113384
2026-05-18,11,67827
2026-05-19,13,92684
2026-05-20,10,64686
2026-05-21,8,63743
2026-05-22,13,89100
2026-05-23,8,46370
2026-05-24,14,97787
2026-05-25,9,58772
2026-05-26,10,74498
2026-05-27,12,95457
2026-05-28,11,70914
2026-05-29,11,67644
2026-05-30,10,67826
2026-05-31,15,127301
2026-06-01,13,83370
2026-06-02,6,44798
2026-06-03,10,75073
2026-06-04,11,81484
2026-06-05,5,32343
2026-06-06,12,78843
2026-06-07,12,79471
2026-06-08,9,72299
2026-06-09,10,66884
2026-06-10,7,48828
2026-06-11,7,54558
2026-06-12,5,28314
2026-06-13,8,56443
2026-06-14,10,69344
2026-06-15,5,32971
2026-06-16,6,37001
2026-06-17,7,51026
2026-06-18,10,70730
2026-06-19,6,51601
2026-06-20,11,73112
2026-06-21,8,47887
2026-06-22,7,55500
2026-06-23,2,18186
2026-06-24,11,88025
2026-06-25,5,35300
2026-06-26,4,33101
2026-06-27,7,50529
2026-06-28,15,103256
2026-06-29,6,39513
2026-06-30,3,29830
2026-07-01,2,15229
2026-07-02,4,32970
2026-07-03,5,33285
2026-07-04,8,63873
2026-07-05,10,74184
2026-07-06,5,34044
2026-07-07,3,17114
2026-07-08,4,31714
2026-07-09,5,36372
2026-07-10,5,39643
2026-07-11,6,46185
2026-07-12,1,6228
2026-07-13,5,34672
2026-07-14,3,22399
2026-07-15,4,32970
2026-07-16,3,21902
2026-07-17,3,25486
2026-07-18,4,37444
2026-07-19,2,12456
2026-07-20,2,16171
2026-07-21,2,16171
2026-07-22,2,16171
2026-07-23,4,23342
2026-07-24,3,22713
2026-07-25,4,27371
2026-07-26,7,57645
2026-07-27,1,11958
2026-07-28,4,28313
2026-07-29,4,27999
2026-07-30,2,16485
2026-07-31,2,17872
TOTAL,1060,7533526
